name,cmc,color_identity,type_line,rarity,power,toughness,keywords,set_type,oracle_text_length,year_released,is_reprint,is_reserved,num_colors,is_creature,is_legendary,card_age_days,edhrec_rank
Timetwister,3.0,U,Sorcery,bonus,,,,masters,140,2014,True,True,1,False,False,3152,1871
Lesser Werewolf,4.0,B,Creature — Werewolf,common,2,4,,masters,208,2009,True,False,1,True,False,4895,23909
Deeproot Warrior,2.0,G,Creature — Merfolk Warrior,common,2,2,,expansion,75,2017,False,False,1,True,False,1951,19033
Drifting Meadow,0.0,W,Land,common,,,Cycling,commander,111,2020,True,False,1,False,False,1020,2704
Kjeldoran Javelineer,1.0,W,Creature — Human Soldier,common,1,2,Cumulative upkeep,expansion,294,2006,False,False,1,True,False,6039,23419
Sylvan Bounty,6.0,G,Instant,common,,,"Landcycling,Basic landcycling,Typecycling",archenemy,172,2017,True,False,1,False,False,2056,17505
Unknown Shores,0.0,,Land,common,,,,expansion,50,2020,True,False,0,False,False,1104,4373
Deathspore Thallid,2.0,B,Creature — Zombie Fungus,common,1,1,,masters,242,2021,True,False,1,True,False,684,5472
Niveous Wisps,1.0,W,Instant,common,,,,expansion,80,2008,False,False,1,False,False,5388,7668
Deviant Glee,1.0,"B,R",Enchantment — Aura,common,,,Enchant,expansion,108,2012,False,False,2,False,False,3771,18084
Selesnya Locket,3.0,"G,W",Artifact,common,,,,expansion,90,2018,False,False,2,False,False,1580,7816
Ahn-Crop Invader,3.0,R,Creature — Zombie Minotaur Warrior,common,2,2,,expansion,141,2019,False,False,1,True,False,1370,15480
Funeral March,3.0,B,Enchantment — Aura,common,,,Enchant,masters,102,2008,True,False,1,False,False,5245,21178
Prismatic Lens,2.0,,Artifact,common,,,,masters,50,2021,True,False,0,False,False,684,537
Stone Retrieval Unit,4.0,,Artifact Creature — Construct,common,2,3,,expansion,177,2022,False,False,0,True,False,75,14948
Pristine Talisman,3.0,,Artifact,common,,,,commander,30,2021,True,False,0,False,False,649,1116
Embalmed Brawler,3.0,B,Creature — Zombie,common,2,2,Amplify,expansion,215,2003,False,False,1,True,False,7303,23073
Nyxborn Rollicker,1.0,R,Enchantment Creature — Satyr,common,1,1,Bestow,expansion,195,2014,False,False,1,True,False,3281,13850
Voice of the Provinces,6.0,W,Creature — Angel,common,3,3,Flying,draft_innovation,99,2020,True,False,1,True,False,929,19015
Chrome Prowler,3.0,U,Artifact Creature — Phyrexian Cat,common,3,2,Flash,expansion,91,2023,False,False,1,True,False,-2,22014
Larder Zombie,1.0,U,Creature — Zombie,common,1,3,"Surveil,Defender",expansion,144,2021,False,False,1,True,False,495,13380
Call the Scions,3.0,G,Sorcery,common,,,Devoid,expansion,134,2015,False,False,1,False,False,2679,11120
Goblin Assault Team,4.0,R,Creature — Goblin Warrior,common,4,1,Haste,expansion,88,2019,False,False,1,True,False,1370,14908
Death Charmer,3.0,B,Creature — Worm Mercenary,common,2,2,,expansion,118,2000,False,False,1,True,False,8276,21839
Panic,1.0,R,Instant,common,,,,masters,159,2008,True,False,1,False,False,5245,9178
Coastal Hornclaw,5.0,U,Creature — Bird,common,3,3,,core,66,2003,True,False,1,True,False,7128,24206
Marshaling Cry,3.0,W,Sorcery,common,,,"Flashback,Cycling",expansion,221,2007,False,False,1,False,False,5752,15492
Homarid Explorer,4.0,U,Creature — Homarid Scout,common,3,3,Mill,expansion,77,2018,False,False,1,True,False,1741,16417
Armored Skaab,3.0,U,Creature — Zombie Warrior,common,1,4,Mill,expansion,59,2011,False,False,1,True,False,4142,14540
Loxodon Restorer,6.0,W,Creature — Elephant Cleric,common,3,4,Convoke,expansion,211,2018,False,False,1,True,False,1580,18424
Writ of Passage,1.0,U,Enchantment — Aura,common,,,"Forecast,Enchant",expansion,294,2006,False,False,1,False,False,6116,14958
Mogg Fanatic,1.0,R,Creature — Goblin,common,1,1,,masters,56,2016,True,False,1,True,False,2427,6297
Secrets of the Key,1.0,U,Instant,common,,,"Investigate,Flashback",expansion,187,2021,False,False,1,False,False,495,8441
Demonic Appetite,1.0,B,Enchantment — Aura,common,,,Enchant,expansion,114,2010,False,False,1,False,False,4667,19861
Ettercap // Web Shot,5.0,G,Creature — Spider Beast // Instant — Adventure,common,2,5,Reach,draft_innovation,0,2022,False,False,1,True,False,236,11857
Whisk Away,3.0,U,Instant,common,,,,expansion,72,2015,False,False,1,False,False,2931,18523
Tragic Poet,1.0,W,Creature — Human,common,1,1,,expansion,92,2018,True,False,1,True,False,1741,10554
Phyrexian Rager,3.0,B,Creature — Phyrexian Horror,common,2,2,,expansion,81,2022,True,False,1,True,False,145,3990
Vigean Graftmage,3.0,U,Creature — Vedalken Wizard Mutant,common,0,0,Graft,masters,242,2015,True,False,1,True,False,2812,7738
Riverwheel Aerialists,6.0,U,Creature — Djinn Monk,common,4,5,"Flying,Prowess",masters,99,2017,True,False,1,True,False,1902,18920
Kithkin Zealot,2.0,W,Creature — Kithkin Cleric,common,1,3,,expansion,121,2008,False,False,1,True,False,5304,20678
Keeper of the Lens,1.0,,Artifact Creature — Golem,common,1,2,,expansion,63,2015,False,False,0,True,False,2868,15724
Knight Watch,5.0,W,Sorcery,common,,,,expansion,59,2013,False,False,1,False,False,3652,19158
Lens of Clarity,1.0,,Artifact,common,,,,expansion,99,2014,False,False,0,False,False,3050,12315
Vedalken Ghoul,2.0,"B,U",Creature — Vedalken Zombie,common,1,1,,expansion,71,2009,False,False,2,True,False,5025,19458
Assault Strobe,1.0,R,Sorcery,common,,,,expansion,110,2010,False,False,1,False,False,4506,6076
Wingfold Pteron,6.0,U,Creature — Dinosaur,common,3,6,,expansion,198,2020,False,False,1,True,False,1013,18414
Ragged Veins,2.0,B,Enchantment — Aura,common,,,"Enchant,Flash",expansion,104,2004,False,False,1,False,False,6697,15966
Steelclad Spirit,2.0,U,Creature — Spirit,common,3,3,Defender,expansion,148,2021,False,False,1,True,False,439,19730
Furnace Scamp,1.0,R,Creature — Phyrexian Beast,common,1,1,,expansion,133,2011,False,False,1,True,False,4282,19717
Samite Healer,2.0,W,Creature — Human Cleric,common,1,1,,core,75,2007,True,False,1,True,False,5682,21478
Metallic Sliver,1.0,,Artifact Creature — Sliver,common,1,1,,masters,0,2015,True,False,0,True,False,2828,11717
Shattering Blow,2.0,"R,W",Instant,common,,,,expansion,22,2013,False,False,2,False,False,3652,10859
Rustvine Cultivator,1.0,G,Creature — Phyrexian Elf Druid,common,1,2,,expansion,119,2023,False,False,1,True,False,-2,17392
Serrated Scorpion,1.0,B,Creature — Scorpion,common,1,2,,expansion,84,2020,False,False,1,True,False,1013,5619
Legions of Lim-Dûl,3.0,B,Creature — Zombie,common,2,3,,expansion,98,1995,False,False,1,True,False,10105,23504
Orcish Conscripts,1.0,R,Creature — Orc,common,2,2,,masters,147,2008,True,False,1,True,False,5245,23324
Faerie Seer,1.0,U,Creature — Faerie Wizard,common,1,1,"Scry,Flying",draft_innovation,55,2019,False,False,1,True,False,1328,1542
Aven Squire,2.0,W,Creature — Bird Soldier,common,1,1,"Flying,Exalted",core,107,2012,True,False,1,True,False,3855,10084
Bloody Betrayal,3.0,R,Sorcery,common,,,,expansion,217,2021,False,False,1,False,False,439,7137
Spore Frog,1.0,G,Creature — Frog,common,1,1,,draft_innovation,78,2019,True,False,1,True,False,1328,1040
Spear Spewer,1.0,R,Creature — Goblin Warrior,common,0,2,Defender,expansion,57,2019,False,False,1,True,False,1468,3664
Skeletal Changeling,2.0,B,Creature — Shapeshifter,common,1,1,Changeling,expansion,86,2007,False,False,1,True,False,5591,6514
Unholy Hunger,5.0,B,Instant,common,,,Spell mastery,masters,130,2018,True,False,1,False,False,1517,18076
Saddleback Lagac,4.0,G,Creature — Lizard,common,3,1,Support,draft_innovation,123,2018,True,False,1,True,False,1699,19164
Lucky Offering,1.0,W,Sorcery,common,,,,expansion,67,2022,False,False,1,False,False,348,10220
Staunch Shieldmate,1.0,W,Creature — Dwarf Soldier,common,1,3,,core,0,2020,False,False,1,True,False,943,18462
Trained Pronghorn,2.0,W,Creature — Antelope,common,1,1,,expansion,86,2002,False,False,1,True,False,7555,22134
Defender of Chaos,3.0,R,Creature — Human Knight,common,2,1,"Protection,Flash",expansion,27,1999,False,False,1,True,False,8752,22258
Impassioned Orator,2.0,W,Creature — Human Cleric,common,2,2,,core,85,2019,True,False,1,True,False,1300,4274
Jarl of the Forsaken,4.0,B,Creature — Zombie Cleric,common,3,2,"Flash,Foretell",expansion,294,2021,False,False,1,True,False,726,12134
Daring Leap,3.0,"U,W",Instant,common,,,,expansion,79,2001,False,False,2,False,False,8031,22873
Scorned Villager // Moonscarred Werewolf,2.0,G,Creature — Human Werewolf // Creature — Werewolf,common,,,"Vigilance,Transform",expansion,0,2012,False,False,1,True,False,4016,4563
Tainted Strike,1.0,B,Instant,common,,,,expansion,170,2010,False,False,1,False,False,4506,1414
Ready to Rumble,5.0,R,Sorcery,common,,,,expansion,108,2022,False,False,1,False,False,278,16582
Gerrard's Irregulars,5.0,R,Creature — Human Soldier,common,4,2,"Haste,Trample",expansion,14,1999,False,False,1,True,False,8521,23942
Macabre Waltz,2.0,B,Sorcery,common,,,,draft_innovation,93,2020,True,False,1,False,False,929,8904
Vraska's Finisher,3.0,B,Creature — Gorgon Assassin,common,3,2,,expansion,140,2019,False,False,1,True,False,1370,15034
